YEAR,CNT,PI_CNT,INST_CNT,INTV_CNT,CONDITION
2000,2225,23,582,536,1668
2001,2875,53,739,631,2157
2002,4089,37,992,734,2640
2003,5612,64,1287,1216,3435
2004,7395,35,1596,1281,4101
2005,9284,124,2035,1774,4712
2006,11234,85,2462,2199,5601
2007,12814,127,2902,2523,6830
2008,14755,159,3330,2414,7232
2009,16091,194,3635,2758,8480
2010,17113,294,3990,2539,10417
2011,18000,358,4179,2633,10682
2012,18872,494,4369,3150,11637
2013,19689,676,4672,3420,12268
2014,21625,1133,5008,3484,13255
2015,22865,1403,5243,3982,12788
2016,24038,1906,5424,4093,13678
2017,23723,2462,5418,4667,14940
2018,21195,2168,4871,4534,13797
